plot,SR_real,year_mean,year_cv,ntrees,total_biomass,gini,H,H_normalized
1,4,2016.01173020528,0.000107366957744015,682,106314.116889041,0.865456242454186,0.226056009698773,0.375470904818242
10,12,2016.14200298954,0.000286905487320829,669,148437.512718173,0.839193785840425,0.804399141642652,0.745379096040327
100,6,2016.0530191458,0.000217273794298667,679,189520.865725306,0.824145785456908,0.509951147381262,0.65533679619463
1001,1,2018.17640807651,0.00034453370684326,1882,4245.989208352,0.776141870564304,0,
1002,12,2017.39834227206,0.000391922256324433,2051,130624.741003716,0.891014050448725,0.680511874065695,0.630581634510413
1003,1,2017.02132107023,0.000101346769202982,2392,68005.031434744,0.705138720741219,0,
1004,12,2017.32041587902,0.000363415918498781,2116,168157.155805728,0.886014221355664,0.665085559385397,0.616287173096452
1005,1,2017.41574074074,0.000316580088700725,2160,402202.161600684,0.777793225624246,0,
1006,1,2017.14628623188,0.000261004663209723,2208,61159.362910619,0.702031164941983,0,
1007,1,2017.0280452072,9.99832869620661e-05,2389,430475.686851295,0.747259781393971,0,
1008,1,2017.42108709889,0.000428474028585209,1527,5563.095594683,0.695627593371927,0,
1008_2001,2,2022,0,95,182.10063793,0.424563300008144,0.283568473618365,0.941994079337171
1008_2002,2,2022,0,90,128.313220672,0.518756835788342,0.277784740357365,0.922780933324121
1008_2003,2,2022,0,89,159.380893277,0.390328799844492,0.298917869000595,0.992983667096938
1008_2004,4,2022,0,92,232.631899126,0.466604716507488,0.583561194416185,0.969274163408575
1009,1,2017.47736817546,0.000392138680489146,2143,61591.103619952,0.711640777511654,0,
101,1,2016.02865329513,0.000117973214766228,698,13065.583510097,0.777404954578899,0,
1010,1,2017.84334061135,0.000508541338370915,1832,3453.249894877,0.64383649574812,0,
1011,1,2017.47638603696,0.000496675591093396,974,1254.70420495,0.678075067249073,0,
1011-150,1,2017.92819148936,0.000632588077097755,376,358.575573527,0.671281609011636,0,
1011_149,1,2018.11506849315,0.000686742432200001,365,313.917231821,0.667698434854649,0,
1011_2005,1,2022,0,100,243.92380414,0.351734650562715,0,
1011_2006,4,2022,0,87,177.127706192,0.422194776786138,0.580937714595696,0.96491665774755
1012,1,2017.12985865724,0.000272578272403765,1132,854.141708429,0.627200616281598,0,
